City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bourail,NC,77.43,broken clouds,-21.5667,165.4833,Motel Allamanda
2,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
4,Ranong,TH,75.25,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
8,Chandpur,IN,79.81,clear sky,29.15,78.2667,A.A.S Garments
12,Saint-Philippe,RE,76.59,few clouds,-21.3585,55.7679,Le four à pain
15,Kavieng,PG,83.61,light rain,-2.5744,150.7967,Nusa Island Retreat
18,Harper,LR,75.81,broken clouds,4.375,-7.7169,Screensaver
19,Carnarvon,AU,70.75,few clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Bowen,AU,79.86,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
23,Butaritari,KI,81.66,few clouds,3.0707,172.7902,Isles Sunset Lodge
24,Ternate,ID,85.08,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
25,Micheweni,TZ,77.76,overcast clouds,-4.9667,39.8333,
26,Marsa Matruh,EG,71.58,light rain,31.3525,27.2453,Beau Site
29,Takoradi,GH,75.38,light rain,4.8845,-1.7554,Raybow International Hotel
32,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
35,Miandrivazo,MG,81.63,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
36,Rincon,US,72.86,clear sky,32.296,-81.2354,Days Inn Rincon
39,Labuhan,ID,88.47,moderate rain,-6.8844,112.2051,DoubleFAG
41,Mangochi,MW,77.63,clear sky,-14.4782,35.2645,Fort Johnstone Hotel
42,Sur,OM,84.56,broken clouds,22.5667,59.5289,Sur Plaza Hotel
43,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
46,Xai-Xai,MZ,74.23,overcast clouds,-25.0519,33.6442,Complexo da Familia
47,Yulara,AU,89.24,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
50,Iralaya,HN,79.21,overcast clouds,15.0,-83.2333,Iglesia morava renovada
57,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
58,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
62,Airai,TL,77.11,scattered clouds,-8.9266,125.4092,
66,Road Town,VG,80.69,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
67,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
69,Kijang,KR,72.25,clear sky,35.2442,129.2139,Samyang Beach Villa
71,Prachuap Khiri Khan,TH,79.29,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
72,Honiara,SB,86.05,broken clouds,-9.4333,159.95,Heritage Park Hotel
73,Hasaki,JP,73.29,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
75,Alofi,NU,77.02,scattered clouds,-19.0595,-169.9187,Taloa Heights
82,Rumonge,BI,76.51,overcast clouds,-3.9736,29.4386,Kwetu Guest House
84,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
85,Port Blair,IN,80.31,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
86,Salalah,OM,86.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
88,Samarai,PG,82.09,broken clouds,-10.6167,150.6667,Nuli Sapi
89,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
95,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
100,San Policarpo,PH,85.51,broken clouds,12.1791,125.5072,Agapita M. Nicart
101,Nautla,MX,77.9,few clouds,20.2167,-96.7833,Casa Blanca
103,Port Alfred,ZA,70.57,overcast clouds,-33.5906,26.891,The Halyards Hotel
