City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bourail,NC,-21.5667,165.4833,77.43,57,84,6.08,broken clouds
1,Busselton,AU,-33.65,115.3333,65.7,51,63,10.02,broken clouds
2,Vaini,TO,-21.2,-175.2,80.76,89,20,5.75,few clouds
3,Severo-Kurilsk,RU,50.6789,156.125,49.28,88,100,19.28,overcast clouds
4,Ranong,TH,9.9658,98.6348,75.25,99,100,2.77,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,44.26,61,75,3.44,broken clouds
6,Punta Arenas,CL,-53.15,-70.9167,46.11,65,11,8.14,few clouds
7,Albany,US,42.6001,-73.9662,44.55,86,35,2.39,scattered clouds
8,Chandpur,IN,29.15,78.2667,79.81,53,0,1.61,clear sky
9,Iqaluit,CA,63.7506,-68.5145,38.7,93,97,23.0,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,66.38,82,1,5.01,clear sky
11,Rawson,AR,-43.3002,-65.1023,47.3,85,98,6.58,overcast clouds
12,Saint-Philippe,RE,-21.3585,55.7679,76.59,77,12,9.71,few clouds
13,Crystal Beach,CA,42.8699,-79.0583,52.11,89,100,2.59,overcast clouds
14,Tasiilaq,GL,65.6145,-37.6368,30.36,65,71,7.52,broken clouds
15,Kavieng,PG,-2.5744,150.7967,83.61,74,100,10.2,light rain
16,Mataura,NZ,-46.1927,168.8643,56.48,68,100,7.4,overcast clouds
17,East London,ZA,-33.0153,27.9116,68.99,82,100,10.49,overcast clouds
18,Harper,LR,4.375,-7.7169,75.81,86,77,2.64,broken clouds
19,Carnarvon,AU,-24.8667,113.6333,70.75,53,13,19.86,few clouds
20,Bowen,AU,-20.0167,148.2333,79.86,67,30,11.68,scattered clouds
21,Jamestown,US,42.097,-79.2353,48.18,66,100,0.0,overcast clouds
22,Marystown,CA,47.1666,-55.1483,57.56,97,100,24.83,light rain
23,Butaritari,KI,3.0707,172.7902,81.66,74,24,14.9,few clouds
24,Ternate,ID,0.8,127.4,85.08,71,87,4.83,overcast clouds
25,Micheweni,TZ,-4.9667,39.8333,77.76,78,86,9.4,overcast clouds
26,Marsa Matruh,EG,31.3525,27.2453,71.58,69,34,17.0,light rain
27,Puerto Ayora,EC,-0.7393,-90.3518,67.55,85,99,4.0,overcast clouds
28,Barcelos,PT,41.5388,-8.6151,65.91,89,99,5.48,overcast clouds
29,Takoradi,GH,4.8845,-1.7554,75.38,89,69,2.84,light rain
30,Tambura,SS,5.6,27.4667,67.06,98,100,3.65,moderate rain
31,Balykshi,KZ,47.0667,51.8667,39.2,81,0,11.18,clear sky
32,Georgetown,MY,5.4112,100.3354,89.53,72,20,4.61,few clouds
33,New Norfolk,AU,-42.7826,147.0587,54.91,50,96,3.0,overcast clouds
34,Odesskoye,RU,54.2111,72.9651,45.68,69,26,14.67,scattered clouds
35,Miandrivazo,MG,-19.5167,45.4667,81.63,58,12,1.43,few clouds
36,Rincon,US,32.296,-81.2354,72.86,88,0,4.61,clear sky
37,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,60,75,8.95,broken clouds
38,Hobart,AU,-42.8794,147.3294,55.27,77,75,14.97,broken clouds
39,Labuhan,ID,-6.8844,112.2051,88.47,60,100,7.14,moderate rain
