City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Faanui,PF,2022-10-17 02:13:34,-16.4833,-151.75,78.69,71,3,13.53
1,La Ronge,CA,2022-10-17 02:13:35,55.1001,-105.2842,35.85,55,81,10.36
2,Airai,TL,2022-10-17 02:13:35,-8.9266,125.4092,77.86,40,26,2.8
3,Puerto Baquerizo Moreno,EC,2022-10-17 02:13:36,-0.9,-89.6,67.37,79,94,13.85
4,Independence,US,2022-10-17 02:13:36,39.0911,-94.4155,55.49,49,0,14.97
5,Chapais,CA,2022-10-17 02:13:37,49.7834,-74.8492,39.02,87,100,4.68
6,Comodoro Rivadavia,AR,2022-10-17 02:12:45,-45.8667,-67.5,40.86,93,0,6.91
7,Mataura,NZ,2022-10-17 02:10:30,-46.1927,168.8643,56.48,44,100,4.61
8,Bilibino,RU,2022-10-17 02:13:38,68.0546,166.4372,0.61,95,49,1.45
9,Rikitea,PF,2022-10-17 02:13:38,-23.1203,-134.9692,68.74,63,1,17.11
10,Faya,SA,2022-10-17 02:13:39,18.3851,42.4509,54.12,32,0,5.77
11,Soyo,AO,2022-10-17 02:13:39,-6.1349,12.3689,75.97,88,62,8.05
12,Namie,JP,2022-10-17 02:13:40,37.4833,141.0,75.97,71,74,8.68
13,Kavieng,PG,2022-10-17 02:13:40,-2.5744,150.7967,83.91,74,100,11.03
14,Morondava,MG,2022-10-17 02:13:40,-20.2833,44.2833,74.84,77,2,8.37
15,Ancud,CL,2022-10-17 02:13:41,-41.8697,-73.8203,49.73,91,86,2.24
16,Kapaa,US,2022-10-17 02:13:42,22.0752,-159.319,84.18,67,0,10.36
17,Durazno,UY,2022-10-17 02:13:43,-33.4131,-56.5006,53.94,91,41,11.83
18,Yellowknife,CA,2022-10-17 02:13:43,62.456,-114.3525,33.57,80,21,15.01
19,Hermanus,ZA,2022-10-17 02:13:44,-34.4187,19.2345,59.81,89,0,10.58
20,Hobart,AU,2022-10-17 02:12:08,-42.8794,147.3294,59.25,64,40,13.8
21,Jamestown,US,2022-10-17 02:11:33,42.097,-79.2353,53.24,64,100,3.44
22,Ciro Marina,IT,2022-10-17 02:13:45,39.3732,17.126,66.27,63,28,4.83
23,Souillac,MU,2022-10-17 02:13:45,-20.5167,57.5167,66.58,94,75,11.5
24,Srandakan,ID,2022-10-17 02:13:46,-7.9386,110.2506,81.73,75,100,9.24
25,Lodwar,KE,2022-10-17 02:13:46,3.1191,35.5973,81.57,52,100,13.73
26,Afsin,TR,2022-10-17 02:13:47,38.2477,36.914,57.22,66,100,1.45
27,Mabaruma,GY,2022-10-17 02:13:47,8.2,-59.7833,75.81,92,95,3.65
28,Ushuaia,AR,2022-10-17 02:11:29,-54.8,-68.3,44.26,57,0,2.3
29,Saldanha,ZA,2022-10-17 02:12:56,-33.0117,17.9442,58.75,94,0,8.52
30,Santa Maria,BR,2022-10-17 02:09:06,-29.6842,-53.8069,55.94,92,0,1.83
31,Bredasdorp,ZA,2022-10-17 02:13:48,-34.5322,20.0403,60.58,88,39,6.87
32,Roma,US,2022-10-17 02:11:19,43.2128,-75.4557,49.87,79,75,3.44
33,Goundi,TD,2022-10-17 02:13:49,9.3627,17.366,73.15,84,100,3.53
34,Nakamura,JP,2022-10-17 02:13:50,32.9833,132.9333,67.46,98,100,1.92
35,Bahile,PH,2022-10-17 02:13:51,9.9995,118.7878,85.33,68,55,8.99
36,Lorengau,PG,2022-10-17 02:13:51,-2.0226,147.2712,85.57,68,100,9.71
37,Longyearbyen,SJ,2022-10-17 02:13:51,78.2186,15.6401,21.04,79,0,12.66
38,Chokurdakh,RU,2022-10-17 02:13:52,70.6333,147.9167,15.76,94,100,10.89
39,Port Blair,IN,2022-10-17 02:13:45,11.6667,92.75,80.64,89,40,4.61
40,Mahebourg,MU,2022-10-17 02:13:52,-20.4081,57.7,68.25,94,75,11.5
41,Busselton,AU,2022-10-17 02:13:53,-33.65,115.3333,62.85,55,42,10.27
42,Cape Town,ZA,2022-10-17 02:11:02,-33.9258,18.4232,63.12,92,75,14.97
43,Asau,RO,2022-10-17 02:14:53,46.4333,26.4,32.92,83,0,3.8
44,Saint Anthony,US,2022-10-17 02:14:54,45.0205,-93.218,38.82,54,100,18.41
45,Deputatskiy,RU,2022-10-17 02:14:54,69.3,139.9,11.57,92,100,5.48
46,Tari,NG,2022-10-17 02:14:54,12.4086,4.4914,79.61,32,6,4.61
47,Hede,CN,2022-10-17 02:14:55,33.7681,120.2517,64.35,34,0,17.52
48,Pevek,RU,2022-10-17 02:12:34,69.7008,170.3133,7.84,95,89,5.01
49,Avarua,CK,2022-10-17 02:14:56,-21.2078,-159.775,78.85,69,75,9.22
50,Bambous Virieux,MU,2022-10-17 02:13:45,-20.3428,57.7575,68.22,94,75,11.5
51,Travesia,HN,2022-10-17 02:14:56,15.8667,-87.9,82.69,86,100,6.33
52,Torbay,CA,2022-10-17 02:14:57,47.6666,-52.7314,54.57,92,100,10.36
53,Walvis Bay,NA,2022-10-17 02:14:57,-22.9575,14.5053,60.1,93,26,4.23
54,Rocha,UY,2022-10-17 02:14:58,-34.4833,-54.3333,55.99,86,70,10.74
55,Auki,SB,2022-10-17 02:14:58,-8.7676,160.7034,87.91,58,26,2.64
56,Hervey Bay,AU,2022-10-17 02:14:58,-25.2986,152.8535,70.02,85,85,8.99
57,Yerbogachen,RU,2022-10-17 02:14:59,61.2767,108.0108,29.71,76,28,7.02
58,Port Lincoln,AU,2022-10-17 02:14:59,-34.7333,135.8667,62.1,69,100,17.49
59,Bluff,NZ,2022-10-17 02:14:59,-46.6,168.3333,56.8,72,100,14.52
60,Ijui,BR,2022-10-17 02:15:00,-28.3878,-53.9147,59.47,91,0,6.67
61,Sampit,ID,2022-10-17 02:13:39,-2.5333,112.95,83.23,78,100,3.96
62,Ferrol,ES,2022-10-17 02:15:01,43.4832,-8.2369,61.32,80,100,4.83
63,Esperance,AU,2022-10-17 02:15:01,-33.8667,121.9,58.91,77,94,23.71
64,Mitu,CO,2022-10-17 02:15:02,1.1983,-70.1733,70.65,99,100,1.48
65,Ponta Grossa,BR,2022-10-17 02:15:03,-25.095,-50.1619,57.29,95,2,1.39
66,New Norfolk,AU,2022-10-17 02:15:03,-42.7826,147.0587,58.91,48,97,3.0
67,Tuktoyaktuk,CA,2022-10-17 02:15:04,69.4541,-133.0374,28.4,86,100,23.02
68,Nikolskoye,RU,2022-10-17 02:15:04,59.7035,30.7861,53.49,79,90,14.74
69,Saint-Philippe,RE,2022-10-17 02:14:43,-21.3585,55.7679,67.59,81,37,6.82
70,Dikson,RU,2022-10-17 02:15:05,73.5069,80.5464,28.76,94,100,9.84
71,Excelsior Springs,US,2022-10-17 02:13:04,39.3392,-94.2261,55.71,43,0,8.05
72,Limon,CR,2022-10-17 02:15:06,10.0,-83.0333,79.05,84,100,3.83
73,Idio,PH,2022-10-17 02:15:06,11.6238,122.0979,83.1,78,100,9.8
74,Guerrero Negro,MX,2022-10-17 02:15:07,27.9769,-114.0611,69.44,66,0,14.47
75,Pacifica,US,2022-10-17 02:12:01,37.6138,-122.4869,64.02,81,75,6.91
76,Whitecourt,CA,2022-10-17 02:15:08,54.1502,-115.6855,54.64,54,0,9.22
77,Gondar,ET,2022-10-17 02:15:08,12.6,37.4667,55.44,68,9,4.97
78,Georgetown,MY,2022-10-17 02:12:22,5.4112,100.3354,84.13,74,20,0.0
79,Iqaluit,CA,2022-10-17 02:15:09,63.7506,-68.5145,40.69,86,75,20.0
80,Madaoua,NE,2022-10-17 02:15:09,14.073,5.96,82.8,13,18,6.17
81,Payo,ID,2022-10-17 02:15:10,-3.7508,103.6372,84.06,68,98,1.92
82,Marshall,US,2022-10-17 02:13:15,34.3834,-86.3333,67.39,83,0,0.0
83,Gladstone,AU,2022-10-17 02:15:11,-23.85,151.25,76.93,65,100,13.8
84,Mar Del Plata,AR,2022-10-17 02:15:11,-38.0023,-57.5575,56.08,90,0,8.99
85,Cherskiy,RU,2022-10-17 02:15:12,68.75,161.3,6.42,93,47,6.42
86,Chuncheng,CN,2022-10-17 02:15:13,22.1731,111.7886,80.62,39,97,10.29
87,Nanortalik,GL,2022-10-17 02:16:18,60.1432,-45.2371,34.97,71,15,9.53
88,Savannah Bight,HN,2022-10-17 02:15:02,16.45,-85.85,83.75,77,58,21.65
89,Samarai,PG,2022-10-17 02:16:19,-10.6167,150.6667,82.13,79,59,10.58
90,Pijino,CO,2022-10-17 02:16:19,9.3291,-74.453,76.1,94,94,5.77
91,Lompoc,US,2022-10-17 02:13:54,34.6391,-120.4579,63.01,82,0,5.75
92,Salinas,US,2022-10-17 02:16:11,36.6777,-121.6555,64.56,68,0,3.44
93,Punta Arenas,CL,2022-10-17 02:14:26,-53.15,-70.9167,46.51,71,0,14.97
94,Morehead,US,2022-10-17 02:16:20,37.2711,-87.1764,56.98,91,75,0.0
95,Corner Brook,CA,2022-10-17 02:16:14,48.9667,-57.9484,48.36,93,100,10.4
96,Itarema,BR,2022-10-17 02:15:23,-2.9248,-39.9167,78.48,82,3,19.17
97,Ponta Do Sol,PT,2022-10-17 02:16:10,32.6667,-17.1,70.0,74,88,4.43
98,Ndioum,SN,2022-10-17 02:16:22,16.5129,-14.6471,88.65,35,22,3.53
99,Hilo,US,2022-10-17 02:16:22,19.7297,-155.09,86.29,80,75,6.91
100,Khatanga,RU,2022-10-17 02:16:23,71.9667,102.5,14.68,98,100,6.2
101,Los Llanos De Aridane,ES,2022-10-17 02:16:23,28.6585,-17.9182,65.95,79,0,8.05
102,Sistranda,NO,2022-10-17 02:16:24,63.7256,8.834,48.16,88,100,10.0
103,Katsuura,JP,2022-10-17 02:16:24,35.1333,140.3,75.25,85,100,9.28
104,Pangnirtung,CA,2022-10-17 02:13:49,66.1451,-65.7125,42.78,91,95,9.1
105,Winnemucca,US,2022-10-17 02:16:25,40.973,-117.7357,62.65,14,0,3.44
106,Honningsvag,NO,2022-10-17 02:16:25,70.9821,25.9704,44.35,81,100,2.3
107,Tilichiki,RU,2022-10-17 02:16:26,60.4667,166.1,22.33,79,10,4.81
108,Talnakh,RU,2022-10-17 02:16:26,69.4865,88.3972,27.21,96,100,8.03
109,Canavieiras,BR,2022-10-17 02:16:08,-15.675,-38.9472,70.54,90,8,2.42
110,Severo-Kurilsk,RU,2022-10-17 02:16:27,50.6789,156.125,49.93,82,100,18.14
111,Chicama,PE,2022-10-17 02:16:28,-7.8447,-79.1469,57.74,82,80,5.97
112,Tagusao,PH,2022-10-17 02:16:28,9.1924,117.8141,83.41,74,99,13.73
113,Lexington,US,2022-10-17 02:14:27,37.9887,-84.4777,57.97,89,0,8.05
114,Aklavik,CA,2022-10-17 02:16:29,68.2191,-135.0107,25.43,87,100,9.06
115,Marystown,CA,2022-10-17 02:16:29,47.1666,-55.1483,57.0,96,100,25.39
116,Port Hedland,AU,2022-10-17 02:15:20,-20.3167,118.5667,91.45,14,1,6.91
117,Cabo San Lucas,MX,2022-10-17 02:12:20,22.8909,-109.9124,81.61,64,40,11.5
118,Atuona,PF,2022-10-17 02:16:30,-9.8,-139.0333,76.75,74,8,8.03
119,Port Alfred,ZA,2022-10-17 02:16:31,-33.5906,26.891,62.19,96,100,11.61
120,Kruisfontein,ZA,2022-10-17 02:14:53,-34.0033,24.7314,64.89,65,100,5.61
